Ethnicity,EthnicGroup
(9S2..) Black Caribbean,Black or Black British
(9S3..) Black African,Black or Black British
(XaFwD) White British,White
(XaFx1) Other ethnic group,Other Ethnic Group
(XaJQx) Other White background,White
(XaJRC) English - ethnic category 2001 census,White
(XaQEa) White British - ethnic category 2001 censu,White
(XaR4o) Romanian,Other Ethnic Group
(XE0oc) Race: Not stated,Not stated
A,White
African,Black or Black British
African - ethnic category 2001 census,Black or Black British
Asian Background Other,Asian or Asian British
Asian or Asian British,Asian or Asian British
Asian or Asian British - Indian,Asian or Asian British
Asian other,Asian or Asian British
Asian/AsianBrit:Indian,Asian or Asian British
B,White
Bangladeshi,Asian or Asian British
BangladeshiorBritishBangladeshi,Asian or Asian British
Black African,Black or Black British
Black Caribbean,Black or Black British
Black or Black British,Black or Black British
Black or Black British African,Black or Black British
Black or Black British Background Other,Black or Black British
Black or Black British Carribean,Black or Black British
Black other,Black or Black British
Black/African/Caribbn/BlackBrit:Caribbean,Black or Black British
Bosnian,Other Ethnic Group
Bosnian - ethnic category 2001 census,Other Ethnic Group
British,White
British or mixed British,Mixed
British or mixed British - ethnic category 2001 ce,Mixed
British or mxd British-ethnic category 2001 census,Mixed
BritishAsian,Asian or Asian British
BritishormixedBritish,Mixed
C,White
Carib/Black:Caribbean,Black or Black British
Caribbean,Black or Black British
Caribbean - ethnic category 2001 census,Black or Black British
Chinese,Other Ethnic Group
Chinese - ethnic category 2001 census,Other Ethnic Group
E,Mixed
English,White
English - ethnic category 2001 census,White
Ethnic category not stated - 2001 census,Not stated
Ethnic groups (census) NOS,Not stated
Ethnic other,Other Ethnic Group
Ethnicgroups(census)NOS,Not stated
Ethnicitynotstated,Not stated
F,Mixed
G,Mixed
H,Asian or Asian British
Indian,Asian or Asian British
Indian or British Indian - ethnic category 2001 ce,Asian or Asian British
IndianorBritishIndian,Asian or Asian British
Iranian,Other Ethnic Group
Iranian - ethnic category 2001 census,Other Ethnic Group
Irish,White
Irish - ethnic category 2001 census,White
Irish-ethniccategory2001census,White
Italian-ethniccategory2001census,Other Ethnic Group
J,Asian or Asian British
K,Asian or Asian British
L,Asian or Asian British
M,Black or Black British
Mid East (excl Israeli Iranian & Arab) - eth cat 2,Other Ethnic Group
MidEast(exclIsraeliIranian&Arab),Other Ethnic Group
Mixed,Mixed
Mixed Background Other,Mixed
Mixed other,Mixed
Mixed white and asian,Mixed
Mixed white and black african,Mixed
Mixed white and black caribbean,Mixed
N,Black or Black British
Nigerian-ethniccategory2001census,Black or Black British
Not Stated,Not stated
Other - ethnic category 2001 census,Other Ethnic Group
Other Asian background,Asian or Asian British
